127.0.0.1, 2017-12-23 15:39:10, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 3.795691
127.0.0.1, 2017-12-23 15:40:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.019347
127.0.0.1, 2017-12-23 15:40:09, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 2.523457
127.0.0.1, 2017-12-23 15:40:28, POST, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.015787
127.0.0.1, 2017-12-23 15:40:55, GET, /MyApp/test/hello, HTTP/1.1, 200, 0.475291
127.0.0.1, 2017-12-23 15:41:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.008621
127.0.0.1, 2017-12-23 15:41:11, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 2.669573
127.0.0.1, 2017-12-23 15:42:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.022983
127.0.0.1, 2017-12-23 15:42:08, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.359635
127.0.0.1, 2017-12-23 15:43:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.019175
127.0.0.1, 2017-12-23 15:43:10, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 2.534811
127.0.0.1, 2017-12-23 15:43:38, POST, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.017260
127.0.0.1, 2017-12-23 15:43:38, POST, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.035376
127.0.0.1, 2017-12-23 15:43:39, GET, /admin/default/resolve/MyApp/controllers/test.py, HTTP/1.1, 200, 0.042223
127.0.0.1, 2017-12-23 15:43:44, GET, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.037550
127.0.0.1, 2017-12-23 15:43:45, GET, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.024272
127.0.0.1, 2017-12-23 15:43:45, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.007854
127.0.0.1, 2017-12-23 15:43:45, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.004617
127.0.0.1, 2017-12-23 15:43:45, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.039960
127.0.0.1, 2017-12-23 15:43:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.014216
127.0.0.1, 2017-12-23 15:43:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 3.010339
127.0.0.1, 2017-12-23 15:43:50, GET, /MyApp/test/hello, HTTP/1.1, 500, 1.107605
127.0.0.1, 2017-12-23 15:44:19, POST, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.035257
127.0.0.1, 2017-12-23 15:44:19, POST, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.021801
127.0.0.1, 2017-12-23 15:44:20, POST, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.026065
127.0.0.1, 2017-12-23 15:44:20, POST, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.032269
127.0.0.1, 2017-12-23 15:44:20, POST, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.024874
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/test/hello, HTTP/1.1, 200, 0.161681
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001558
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002183
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.009847
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/css/calendar.css, HTTP/1.1, 200, 0.001591
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/js/jquery.js, HTTP/1.1, 200, 0.007531
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/js/calendar.js, HTTP/1.1, 200, 0.004621
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002990
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000844
